content,score,cleaned,label
kok produc jualan ya,1,produc jualan ya,negatif
tok the tok,3,tok the tok,netral
Mantap,5,mantap,positif
good,5,good,positif
"proses retur ribet cs lambat banget responnya & komplen gaada solusinya!! barang salah kirim kesalahan seller retur anter sendiri jg biaya sendiri rugiiii banyak (tenaga, waktu, uang)!!!! mending belanja di shopee/tiktok/lazada free ongkir semua dijemput kurir lg",1,proses retur ribet cs lambat banget responnya komplen gaada solusinya barang salah kirim kesalahan seller retur anter jg biaya rugiiii tenaga uang mending belanja shopee tiktok lazada free ongkir dijemput kurir lg,negatif
aplikasi sampah,1,aplikasi sampah,negatif
bagus sangat memuakan,5,bagus memuakan,positif
empingnya enak ... respon seller bagus .... pengiriman cepat ... RECOMMENDED SELLER,5,empingnya enak respon seller bagus pengiriman cepat recommended seller,positif
akhir-akhir ini sering ngacooo,1,ngacooo,negatif
setelah di update tidak bisa dibuka malahnminta update lagi,3,update dibuka malahnminta update,netral
good nice,5,good nice,positif
pake gopay later tokped berasa pinjol ilegal. cara nagih kaya DC . padahal kalau denda trus kenapa?? kan yg bayar denda kita juga. baru 1 hari udh kaya org punya hutang 1 M ga dibayar bertahun2.,1,pake gopay later tokped berasa pinjol ilegal nagih kaya dc denda trus yg bayar denda udh kaya org hutang m ga dibayar bertahun,negatif
sangat bagus dan nyaman.,4,bagus nyaman,positif
tak sesuai dengan harga bilangnya promo tapi pas payment di refund,2,sesuai harga bilangnya promo pas payment refund,negatif
Kenapa setelah di update ngebug?tolong pelayanan ditingkatkan agar digunakan lancar demi kenyamanan pengguna,1,update ngebug tolong pelayanan ditingkatkan lancar kenyamanan pengguna,negatif
aplikasi ini sgt membantu sekali dlm mencari yg dibthkn sy,4,aplikasi sgt membantu dlm mencari yg dibthkn sy,positif
toko pedia memang sangat menyenangkan untuk keluarga anda,4,toko pedia menyenangkan keluarga,positif
"hati hati dan cermat dalam membeli di toko ini karena sistemnya lebih melindungi penjualnya... di kira uang itu datangnya dari penjual. logikanya orang ga mungkin merusak barang yg sdh dibelinya. mlh disuruh penjualnya melengkapi bukti 2 lagi,padahal sdh diberikan dari awal komplain, anehnya di halaman ini utk mengupload bukti video ga bisa dan itu dijadikan senjata penjual utk menolak refaund dan sistem menerimanya...",2,hati hati cermat membeli toko sistemnya melindungi penjualnya uang datangnya penjual logikanya orang ga merusak barang yg sdh dibelinya mlh disuruh penjualnya melengkapi bukti sdh komplain anehnya halaman utk mengupload bukti video ga dijadikan senjata penjual utk menolak refaund sistem menerimanya,negatif
gw mau review tp gopaylater dan fitur ini adanya di Tokopedia... jangan pernah aktifkan fitur ini telat bayar sehari langsung denda 50rb meskipun tagihan cuma 35rb..,1,gw review tp gopaylater fitur tokopedia aktifkan fitur telat bayar sehari langsung denda rb tagihan rb,negatif
"aplikasi rusak, sistem nya bobrok gampang kena hack",1,aplikasi rusak sistem nya bobrok gampang kena hack,negatif
good...,5,good,positif
Seringnya sistem aplikasi ini error buat sy muak. Barang yang dikembalikan bisa tetap ada tagihan. Merusak data saya secara pribadi!,1,sistem aplikasi error sy muak barang dikembalikan tagihan merusak data pribadi,negatif
"aplikasi kayak kkontollllllll,server amit2 lemot sekali",1,aplikasi kayak kkontollllllll server amit lemot,negatif
semua selalu mudah di Tokped,5,mudah tokped,positif
buruk,1,buruk,negatif
"aplikasi taik mau cek barang gak bisa kapok belanja lewat tokopedia,,disuruh update jadi tokopedia plus gak bisa dibuka loading lama,tiba2 terhenti sendiri.buat kalian mending lewat shoope aja.",1,aplikasi taik cek barang gak kapok belanja tokopedia disuruh update tokopedia plus gak dibuka loading terhenti mending shoope aja,negatif
oke,5,oke,positif
ok,5,ok,positif
"Awal bagus banget, but after that aduh toko penipu merajalela. Komplain terhadap dana yang di kembalikan tidak jelas, ketika barang di retur selalu menunggu penjual untuk menyetujui padahal seharusnya ada due date yang diberikan ke penjual, gimana mau menyetujui barang diterima? penjualny fiktif, jadinya status di pelacak resi cuma ada 1. barang di kirim ke penerima dan barang di simpan di gudang expedisi trus aja gitu sampai ladang gandum dipenuhi dengan coklat dan jadilah Koko Krunch 🫨🫨🫨",1,bagus banget but after that aduh toko penipu merajalela komplain dana kembalikan barang retur menunggu penjual menyetujui due date penjual gimana menyetujui barang diterima penjualny fiktif status pelacak resi barang kirim penerima barang simpan gudang expedisi trus aja gitu ladang gandum dipenuhi coklat koko krunch,negatif
ok,5,ok,positif
Buruk sekali pelayanannya terhadap transaksi saya susah lebih sebulan tidak ada kejelasan barang saya,1,buruk pelayanannya transaksi susah sebulan kejelasan barang,negatif
aw di dunia www zw pasang Z yang mana sws yang s wss slagu zzwww w www Www seezswaw w,5,aw dunia www zw pasang z sws s wss slagu zzwww w www www seezswaw w,positif
"Aplikasi yang buruk... Pengiriman orderan yang saya lakukan di aplikasi ini tidak sampai"" ke alamat yang saya cantumkan. semoga teman"" yang lain juga berhenti melakukan transaksi di aplikasi ini. Buruk dan tidak dapat memuaskan pelanggan...",1,aplikasi buruk pengiriman orderan lakukan aplikasi alamat cantumkan semoga teman berhenti transaksi aplikasi buruk memuaskan pelanggan,negatif
mantab,5,mantab,positif
masih ada aja penipuan. dan saya minta refund dana pun tidak kunjung selesai. ! penjual menipu dengan cara iming² voucher harga barang. ! dan pihak Tokopedia pun merespon hanya dibalas dengan sistem chat robot/chat otomatis. PARAH.,1,aja penipuan refund dana kunjung selesai penjual menipu iming voucher harga barang tokopedia merespon dibalas sistem chat robot chat otomatis parah,negatif
Mudah dalam Bertransaksi.semoga akan terus menjadi baik,5,mudah bertransaksi semoga,positif
"bagus, dan tolong pertahankan",5,bagus tolong pertahankan,positif
baik terimakasih meskipun agak lama responnya tapi itu demi keamanan dana refund kita juga . memberi waktu ke kita untuk membuktikan dana tetap aman dan tidak disalahgunakan orang lain .dan dana saya sudah bisa ditarik setelah 10 hari .,5,terimakasih responnya keamanan dana refund membuktikan dana aman disalahgunakan orang dana ditarik,positif
KURIR YG RETUR PENGGUNA YG NANGGUNG APLIKASI TOLOL,1,kurir yg retur pengguna yg nanggung aplikasi tolol,negatif
"Daftar affiliate-nya masih eror terus, udah dilakukan seperti yang disarankan oleh Tokopedia customer care-nya masih aja belum bisa daftar. Solusinya dong!",3,daftar affiliate nya eror udah disarankan tokopedia customer care nya aja daftar solusinya,netral
belanja murah,5,belanja murah,positif
Lemot,1,lemot,negatif
paylater gede gw di acc 20 juta,5,paylater gede gw acc juta,positif
"Pertama kali ngereturn barang, yang dikembalikan dananya cuma setengahnya njir😹",1,kali ngereturn barang dikembalikan dananya setengahnya njir,negatif
selama ini aman aman aja belanja di toko pedia.belia ada sedikit kendala responnya juga cepet,5,aman aman aja belanja toko pedia belia kendala responnya cepet,positif
Tolong perbaiki Tokopedia karena aku sering beli disini tapi kalo banyak penjual yang tidak bertanggung jawab kan jadi takut juga,3,tolong perbaiki tokopedia beli kalo penjual bertanggung takut,netral
bagus,5,bagus,positif
akun saya tiba tiba menghilang padahal disana ada saldo refund,1,akun menghilang disana saldo refund,negatif
Tokopedia barang nya terlengkap di Indonesia tapi ada satu hal yang tidak masuk akal ongkir nya sampai 80 ribu😂😂😂,1,tokopedia barang nya terlengkap indonesia masuk akal ongkir nya ribu,negatif
aplikasinya terlalu berat untuk loading halaman. sering trouble ketika load.,1,aplikasinya berat loading halaman trouble load,negatif
bagus buat usaha samping gan,5,bagus usaha samping gan,positif
puas dengan pelayanan diskon ongkir nya tapi kecewa dengan multi kurirnya karena suka diluar estimasi,5,puas pelayanan diskon ongkir nya kecewa multi kurirnya suka diluar estimasi,positif
"Bagus dan oke, tambah lagi cashbacknya dan lebih murah lagi tapi kwalitas tetap oke.... Siiiip......",5,bagus oke cashbacknya murah kwalitas oke siiiip,positif
assalamualaikum,5,assalamualaikum,positif
Aplikasi jelek,1,aplikasi jelek,negatif
saran aj kalau bisa semua produk bisa cod,5,saran aj produk cod,positif
Kenapa ya limit Gopaynya gak bisa di pake,5,ya limit gopaynya gak pake,positif
sangat baik,3,,netral
"Jadi males semenjak merger sma Tiktok, cuma kasih cashback coin saldo, itupun hanya bisa dibelanjain kebarang tertentu. berasa dipaksa jadi konsumtif. dasar pelit.. tinggal nunggu shallernya migrasi pindah semua nati juga ketoko oren",1,males semenjak merger sma tiktok kasih cashback coin saldo itupun dibelanjain kebarang berasa dipaksa konsumtif dasar pelit tinggal nunggu shallernya migrasi pindah nati ketoko oren,negatif
ngepasin titik lokasi susah gk kaya apk sebelah emosi sendiri ngepasin gk ngepas2 pindah2 sendiri terus,4,ngepasin titik lokasi susah gk kaya apk sebelah emosi ngepasin gk ngepas pindah,positif
Vouchernya semua PHP,1,vouchernya php,negatif
barang sesuai yang di beli dan semoga selalu amanah toko nya agar tidak mengecewakan konsumen 🙏🏻🙏🏻,5,barang sesuai beli semoga amanah toko nya mengecewakan konsumen,positif
jangan mau instal tokopedia. banyak penipu nya.istri beli barang blender malah d kirim cassing hp. kan tolol tokped nggak menyaring sellernya bener2. dan sampe sekarang uang tertahan d tokped. seller tidak merespon. tokped aplikasi paling parah yg pernah d pake. jangan pernah instal dan belanja d Tokopedia. banyak penipu nya.,1,instal tokopedia penipu nya istri beli barang blender d kirim cassing hp tolol tokped nggak menyaring sellernya bener sampe uang tertahan d tokped seller merespon tokped aplikasi parah yg d pake instal belanja d tokopedia penipu nya,negatif
"alhamdulillah ,,,,, segala puji bagi Allah Ta'ala",5,alhamdulillah puji allah ta ala,positif
saya kena tipu barang di tokopedia. sampai saat ini belum ada penanganan kelanjutannya. saya hanya minta uang kembali. tolong bantu proses. .,1,kena tipu barang tokopedia penanganan kelanjutannya uang tolong bantu proses,negatif
membantu dalam belanja,5,membantu belanja,positif
baru tgl 22 update masa minta update lagi,1,tgl update update,negatif
Amanah,5,amanah,positif
"Gratis ongkir tokopedia cuma gimmick, ongkir dibuat 50 rb jakarta ke lampung potongan 20rb. omgkir 30 ya sama aja. mending di sopi real. 0 rupiah. cuma puls 2rb . biaya penanganan. kapok kapok kapok",1,gratis ongkir tokopedia gimmick ongkir rb jakarta lampung potongan rb omgkir ya aja mending sopi real rupiah puls rb biaya penanganan kapok kapok kapok,negatif
mantabb,5,mantabb,positif
ok,5,ok,positif
mantab min,5,mantab min,positif
kenapa limit dari 16 jtan bisa jadi 3 jt limit saya....alasan nya apa y....padahal ga perna telat pembayaran dan sering di pakai....aneh...banget penilaian dari paylater nya...parah benar,1,limit jtan jt limit alasan nya y ga perna telat pembayaran pakai aneh banget penilaian paylater nya parah,negatif
sampah neh aplikasi. najis belanja disini lagi,1,sampah neh aplikasi najis belanja,negatif
membuat kita muda untuk mencari barang yg kita perlukan,4,muda mencari barang yg perlukan,positif
