content,score
kok produc jualan ya,1
tok the tok,3
Mantap,5
good,5
"proses retur ribet cs lambat banget responnya & komplen gaada solusinya!! barang salah kirim kesalahan seller retur anter sendiri jg biaya sendiri rugiiii banyak (tenaga, waktu, uang)!!!! mending belanja di shopee/tiktok/lazada free ongkir semua dijemput kurir lg",1
aplikasi sampah,1
bagus sangat memuakan,5
empingnya enak ... respon seller bagus .... pengiriman cepat ... RECOMMENDED SELLER,5
akhir-akhir ini sering ngacooo,1
setelah di update tidak bisa dibuka malahnminta update lagi,3
good nice,5
pake gopay later tokped berasa pinjol ilegal. cara nagih kaya DC . padahal kalau denda trus kenapa?? kan yg bayar denda kita juga. baru 1 hari udh kaya org punya hutang 1 M ga dibayar bertahun2.,1
sangat bagus dan nyaman.,4
tak sesuai dengan harga bilangnya promo tapi pas payment di refund,2
Kenapa setelah di update ngebug?tolong pelayanan ditingkatkan agar digunakan lancar demi kenyamanan pengguna,1
aplikasi ini sgt membantu sekali dlm mencari yg dibthkn sy,4
toko pedia memang sangat menyenangkan untuk keluarga anda,4
"hati hati dan cermat dalam membeli di toko ini karena sistemnya lebih melindungi penjualnya... di kira uang itu datangnya dari penjual. logikanya orang ga mungkin merusak barang yg sdh dibelinya. mlh disuruh penjualnya melengkapi bukti 2 lagi,padahal sdh diberikan dari awal komplain, anehnya di halaman ini utk mengupload bukti video ga bisa dan itu dijadikan senjata penjual utk menolak refaund dan sistem menerimanya...",2
gw mau review tp gopaylater dan fitur ini adanya di Tokopedia... jangan pernah aktifkan fitur ini telat bayar sehari langsung denda 50rb meskipun tagihan cuma 35rb..,1
"aplikasi rusak, sistem nya bobrok gampang kena hack",1
good...,5
Seringnya sistem aplikasi ini error buat sy muak. Barang yang dikembalikan bisa tetap ada tagihan. Merusak data saya secara pribadi!,1
"aplikasi kayak kkontollllllll,server amit2 lemot sekali",1
semua selalu mudah di Tokped,5
buruk,1
"aplikasi taik mau cek barang gak bisa kapok belanja lewat tokopedia,,disuruh update jadi tokopedia plus gak bisa dibuka loading lama,tiba2 terhenti sendiri.buat kalian mending lewat shoope aja.",1
oke,5
ok,5
"Awal bagus banget, but after that aduh toko penipu merajalela. Komplain terhadap dana yang di kembalikan tidak jelas, ketika barang di retur selalu menunggu penjual untuk menyetujui padahal seharusnya ada due date yang diberikan ke penjual, gimana mau menyetujui barang diterima? penjualny fiktif, jadinya status di pelacak resi cuma ada 1. barang di kirim ke penerima dan barang di simpan di gudang expedisi trus aja gitu sampai ladang gandum dipenuhi dengan coklat dan jadilah Koko Krunch 🫨🫨🫨",1
ok,5
Buruk sekali pelayanannya terhadap transaksi saya susah lebih sebulan tidak ada kejelasan barang saya,1
aw di dunia www zw pasang Z yang mana sws yang s wss slagu zzwww w www Www seezswaw w,5
"Aplikasi yang buruk... Pengiriman orderan yang saya lakukan di aplikasi ini tidak sampai"" ke alamat yang saya cantumkan. semoga teman"" yang lain juga berhenti melakukan transaksi di aplikasi ini. Buruk dan tidak dapat memuaskan pelanggan...",1
mantab,5
masih ada aja penipuan. dan saya minta refund dana pun tidak kunjung selesai. ! penjual menipu dengan cara iming² voucher harga barang. ! dan pihak Tokopedia pun merespon hanya dibalas dengan sistem chat robot/chat otomatis. PARAH.,1
Mudah dalam Bertransaksi.semoga akan terus menjadi baik,5
"bagus, dan tolong pertahankan",5
baik terimakasih meskipun agak lama responnya tapi itu demi keamanan dana refund kita juga . memberi waktu ke kita untuk membuktikan dana tetap aman dan tidak disalahgunakan orang lain .dan dana saya sudah bisa ditarik setelah 10 hari .,5
KURIR YG RETUR PENGGUNA YG NANGGUNG APLIKASI TOLOL,1
"Daftar affiliate-nya masih eror terus, udah dilakukan seperti yang disarankan oleh Tokopedia customer care-nya masih aja belum bisa daftar. Solusinya dong!",3
belanja murah,5
Lemot,1
paylater gede gw di acc 20 juta,5
"Pertama kali ngereturn barang, yang dikembalikan dananya cuma setengahnya njir😹",1
selama ini aman aman aja belanja di toko pedia.belia ada sedikit kendala responnya juga cepet,5
Tolong perbaiki Tokopedia karena aku sering beli disini tapi kalo banyak penjual yang tidak bertanggung jawab kan jadi takut juga,3
bagus,5
akun saya tiba tiba menghilang padahal disana ada saldo refund,1
Tokopedia barang nya terlengkap di Indonesia tapi ada satu hal yang tidak masuk akal ongkir nya sampai 80 ribu😂😂😂,1
aplikasinya terlalu berat untuk loading halaman. sering trouble ketika load.,1
bagus buat usaha samping gan,5
puas dengan pelayanan diskon ongkir nya tapi kecewa dengan multi kurirnya karena suka diluar estimasi,5
"Bagus dan oke, tambah lagi cashbacknya dan lebih murah lagi tapi kwalitas tetap oke.... Siiiip......",5
assalamualaikum,5
Aplikasi jelek,1
saran aj kalau bisa semua produk bisa cod,5
Kenapa ya limit Gopaynya gak bisa di pake,5
sangat baik,3
"Jadi males semenjak merger sma Tiktok, cuma kasih cashback coin saldo, itupun hanya bisa dibelanjain kebarang tertentu. berasa dipaksa jadi konsumtif. dasar pelit.. tinggal nunggu shallernya migrasi pindah semua nati juga ketoko oren",1
ngepasin titik lokasi susah gk kaya apk sebelah emosi sendiri ngepasin gk ngepas2 pindah2 sendiri terus,4
Vouchernya semua PHP,1
barang sesuai yang di beli dan semoga selalu amanah toko nya agar tidak mengecewakan konsumen 🙏🏻🙏🏻,5
jangan mau instal tokopedia. banyak penipu nya.istri beli barang blender malah d kirim cassing hp. kan tolol tokped nggak menyaring sellernya bener2. dan sampe sekarang uang tertahan d tokped. seller tidak merespon. tokped aplikasi paling parah yg pernah d pake. jangan pernah instal dan belanja d Tokopedia. banyak penipu nya.,1
"alhamdulillah ,,,,, segala puji bagi Allah Ta'ala",5
saya kena tipu barang di tokopedia. sampai saat ini belum ada penanganan kelanjutannya. saya hanya minta uang kembali. tolong bantu proses. .,1
membantu dalam belanja,5
baru tgl 22 update masa minta update lagi,1
Amanah,5
"Gratis ongkir tokopedia cuma gimmick, ongkir dibuat 50 rb jakarta ke lampung potongan 20rb. omgkir 30 ya sama aja. mending di sopi real. 0 rupiah. cuma puls 2rb . biaya penanganan. kapok kapok kapok",1
mantabb,5
ok,5
mantab min,5
kenapa limit dari 16 jtan bisa jadi 3 jt limit saya....alasan nya apa y....padahal ga perna telat pembayaran dan sering di pakai....aneh...banget penilaian dari paylater nya...parah benar,1
sampah neh aplikasi. najis belanja disini lagi,1
membuat kita muda untuk mencari barang yg kita perlukan,4
"gila tokped narik dana ke rekening hampir berhari""dari tanggal 27 gak ada kepastian gak juga masukk gimana tanggung jawabnya ini hampir 12 juta dana saya gak ada kepastian.KAPOKKKKKKKKKK",1
gabisa di buka apk nya,1
"sekarang harga barang mahal ,ongkir mahal , mending Oren harga barang lebih murah ,gratis ongkir, tokped paylater bunga gila",1
Mohon perbaikan saat beli pulsa terus pake voucher diskon aplikasi tidak bisa memproses.. terimakasih,5
awesome !!,5
"sering tiba tiba Hank ..hitam , Mau buka ulasan diarahkaan ke update ,tapi update tidak ada , kenapa tidak bisa buka ulasan ? Sistem transaksi 👍 ,tapi aplikasi ' sangat tidak bagus' ,sebelum update ,sangat lelet setelah update ,tidak bisa buka ulasan , cari programer yang benar kenapa ?, tetap tidak bisa buka semua ulasan .. 16-8-2025 Sekarang klau lagi,slide slide lama suka Hank ...., gelap dan sangat lama,kalau ditutup ,buka dari awal lagi ,toko yang lagi dilihat lupa ..hilang .",2
Kenapa ongkir di halaman produk dan di halaman check out beda ya,5
"parah, pindah aja ke toko oren shope",1
Nipu harganya berubah seenak developernya,1
bagus,5
"Jelek, harga berubah ketika mau pesan barang",1
ribet,1
"gw beli barang dari official store sdh sebulan lebih barang kgk nyampai. Sdh ajukan komplen ditolak sm pihak tokped dgn alasan barang sdh diterima akan dikirim bukti pelacakan,pdahal di aplikasi barang masih nyangkut. Sdh sebulan lebih phk tokped tdk bs ngasih bukti barang sdh diterima sperti janji mereka. Lemah perlindungan pada konsumen, mau ngelindungi maling bos ? aplikasi tolol",1
produk nya aslinya suka banget dengan Tokopedia,5
oke terbaik,5
layanan multi kurir yg kacau lama banget sampe barang banyak di pindah tangan,1
Sering minta update terus.... Sedangkan Performa biasa saja.,1
"Semenjak dijual,bukannya nambah bagus malah makin bobrok Csnya makin parah Goodbye tokped",1
top,5
saya di tipu di tokopedia,1
bagussss bangett,5
terimah kasih,3
saya puas #tuanmudasitinjak_gerry,1
"halah rusak, saya dapat spin dan dapat hadiah kupon 2,4jt dengan syarat belanja 2 produk, pas saya baca syarat dan ketentuannya tidak ada detail minimal pembelian, ya saya gas lah beli 2 produk, habis beli langsung ada tulisan selamat anda dapat kupon 2,4 juta, pas di klik langsung ilang entah kemana???!!",1
"mau narik saldo dipersulit, sudah menghubungi Tokopedia care masih belum juga dibalas, ga recomended kalau mau narik saldo refund, pokoknya hati hati kalau mau order, belum tentu barangnya ada dan bahkan dipersulit banget untuk narik saldonya, mungkin 400 ribuan buat anda kecil tapi buat saya itu buat makan 2 mingguan",1
mantab,5
"semoga Tuhan memberkati, keselamatan dan kebahagiaan ummat manusia di bumi ini. Amin.",5
Tokopedia tolong dong kaya dulu lagi bisa lihat kapan terakhir toko aktif biar jadi patokan kalo belanja. Soalnya saya sering banget belanja tapi tau tau toko nya udah tutup akhirnya saya nunggu lagi padahal barangnya sedang saya butuhin. Terimakasih,5
anehh...pas di dlm keranjang barang diskon 50% dari harga aslinya..karna ada kupon..pas di bayar eh malah muncul seperti jaringan tidak stabil..dan pas di ulangin lagi malah muncul saya sudah mencoba 3x kupon..dan harganya normal lagi..aneh👎👎👎👎,1
"apk nya lambat, ga worth it bgt, saran ku jgn di coba",1
"Sistemnya ANCUR. Order pakai instan maks 3 Jam, sudah 5 jam penjual tidak kirim bahkan tidak respon chat, ajukan pembatalan malah diminta tunggu persetujuan penjual, kan aneh. Ini rampok namanya. Kecuali pembatalan dgn alasan yang ga jelas ya wajar. Ini jelas order pakai Instant, yang notabene nya butuh cepat, urgent. Malah diminta tunggu 2 hari kerja. Halooo?? itu saya bayar ongkir instan mahal2 buat apa kalau mesti tunggu 2 hari kerja baru bisa balik uang nya?? Pilih Marketplace lain saja.",1
aplikasi yang masih ada modus penipuan,2
"Beli barang lewat tokopedia ,barang tidak sesuai yang datang, ajukan komplain disuruh tunggu kurir ada yg datang buat ambil barang selama 3 hari. ditunggu tidak datang datang tiba tiba KOMPALAIN ditutup sendiri. DARI AWAL DISURUH TUNGGU KURIR BILANGNYA, KURIR TIDAK DATANG KOMPLAIN DITUTUP . SEKARANG DARI TOKOPEDIA CARE SUDAH TIDAK BISA LG DIURUS. BINATANG , PENIPU",1
Jelek,1
"customer service tidak responsif atau lama dalam memberikan tanggapan, dan sering menutup kasus dari orang lain jika memang sedikit lama bagi pelanggan membalas pesan sedangkan dari pihak customer service lebih lama lagi.",1
yah gitu deh,4
cuma gabut aku,1
untuk expedisi tolong pake JNT aja yg cepat kalau pakai expedisi yg lain kebanyakan lemot,5
kdg lemot,4
"sekarang ga ngasih diskon buat belanja kah ?, jgn hanya buat pembayaran aja diskonnya, dulu kalo ga belanja 1 / 2 / 3 bulan dapat diskon 10rb atau berapa gitu... tapi sekarang udah berubah... diambil tiktok makanya berubah.........😮‍💨😮‍💨😮‍💨 beli lagi sahamnya biar China ga berkuasa, setelah tokped merger Ama TikTok diskon dibatasi bahkan ga dapat...💔",2
"aplikasinya termasuk ringan, barang barangnya yang dijual di aplikasi masih belum terlalu banyak, gratis ongkir belum 100%",4
"kami mau bayar tagihan gopay later, kenapa tidak bisa melalui aplikasi tokopedia, gagal terus, hari ini jatuh tempo semisal nanti terlambat kan didenda, apakah tokopedia sengaja agar bisa kutip dendanya... tks",2
"itu ada spin dapat 2,4juta di suru beli produk yang sebenarnya ga perlu. setelah check out ternyata vouchernya tidak ada. ini seperti apa? saya merasa tertipu. padahal saya customer aktiv",1
ok,5
menu pencarian tidak akurat,3
simpel mudah belanja di tokped,5
respon cepat,4
"pengalaman terpuruk bersama TOKOPEDIA, Beli barang mesin las dan grinda potong, sdh bayar di tranfer tapi belum menerima barangnya ( SAMPAI SAAT INI ), entah di kirim kerumah siapa / kesasar, setatus SELESAI 😇",1
"Yang terhormat Pihak Tokopedia,saya ingin menyampaikan komplain. Mengapa semua pembayaran di Tokopedia walaupun COD pastinya ada S&K tolonglah jangan menggunakan S&K saya sebagai pemakai aplikasi merasa kurang nyaman",5
mantep 👍,5
kenapa sekarang paylater ga bisa di pakai padahal saya tiap bulan bayar tepat waktu,3
"sangat kecewa, toko pedia terlalu memanjakan penjual, sy di tipu pesan barang di kirim sampah sudah cat ke penjual tdk pernah di balas,komplain ke tokped sudah, ribet banyak aturan lama,mending di toko orange ,sangat melindungi konsumen",1
semoga tetap kuat dan lebih baik lagi kedepannya.,5
lebih real ongkir nya tapi sayang masih ada seller yang ngasih harga di atas standar resminya,5
cukup membantu dan mempermudah untuk belanja.,4
"aplikasi ga bagus, gue beli token listrik udah bayar pake virtual account lama di proses nya",1
bagus,4
ok goooddd,5
"beli pulsa kok lamaa, maksudnya apa. ini keburu abis kuota saya😭😭",2
mantap,5
notif 🏴‍☠️,1
terbaik,5
mantab,5
barang barangnya lengkap dan murah,4
semoga semakin banyak promo,5
perbanyak promo diskon,5
uang ketahan 2 juta udah 4 hari,1
mempermudah pencarian yg kita ingin kan,5
bagus sekali,5
"Kalo Top Up saldo Flazz ga pernah masuk, dipikir cuman ganguan tapi engga juga. di ulang coba Tup Up gitu lagi sudah beberapa kali. tidak ada tanggapan juga dari TokopediaCare.",1
ok,5
ok,5
"pelayanannya sangat baik,ini pertama saya beli d toko ini",5
"beli barang dapet potong vocher bener2 ga dikirim. di chat sama sekali ga bales. mencoba positif beli barang lagi lahhh barang yang nyampe beda, proses komplain ga nguntungin pembeli, harus nunggu respon penjual, sedangkan penjual di chat dari awal aja ga bales. komplain harus tunggu 3 hari. setelah acc komplain mau retur barang ternyata ongkir di tanggung pembeli. dahlah langsung uninstall paling bener pake si oren.",3
"semoga bisa alternatif berbelanja yg terpercaya, mohon gunakan Ekspedisi pos karena selain murah juga dapat tepat waktu TDK seperti sicepat tdk tepat waktu dan lambat sekali dan bahkan dibatalkan 😝",5
kmhln anj ga ngotk emg,1
kenapa gak bisa daftar tokped afilliate,1
"jelek banget sekarang pelayanan komplain & customer service di aplikasinya. mau retur barang aja ribet banget masa harus kirim barang dengan resi manual, bukan lewat aplikasi. udh diinput resi nya malah gak valid. udh input ulang tetep gak valid. nanya cs malah jawabnya kaya bot. hadeh, kalah jauh dibanding si ungu & si oren pelayanan komplain & cs nya sekarang.",1
"parah banyak toko yang nipu, bilang barang ada setelah dibayar kirim pesan lewat wa suruh rubah ekspedisi dikirim link. laporan ke cs malah akun Tokopedia gw kena periksa, duit cancelan dari pesanan bermasalah malah gak bisa diambil. customer servicenya GK ada respon",1
"saran aja kk, untuk mengubah nomor hp di apk/gopay nya jngan dipersulit. say mau ganti no hp di apk tokped karena nomor sudah hilang tapi dikirim kode otp via wa ke nomor yang udah hilang tsb. ribet",3
pengiriman lamaaaaaaaaaa bnget apk jelekk,1
"ada toko ga jelas, pesanan barang 1 item dengan qty. 2, barang dikirim namun pas dibuka isi paket kosong hanya tulisan untuk hubungi nomor WA penjual, setelah di WA penjual slow respon dan berjanji akan mengirim barang tsb, namun pas cek resi nya via Shopee pertanggal 23 sampai sekarang belum dikirim kirim, lalu invoice juga aneh total belanja 264.510 itu gimana solusi nya dari Tokopedia, merasa dirugikan, bahkan sampai saat ini dana belum juga masuk kesaya",1
👍👍,5
"apk bodoh, saya konsumen lama belanja sudah hampir 100jt, ada keluhan saya sebagai konsumen yg dibrugikan, tidak menerima keluhan sampai akun saya di blokir segala😡",1
"sekarang toko pedia eror, entah sistem nya atau apanya, sudah bayar pesanan melalui briva dan sudah terverifikasi, dibatalkan sepihak tanpa alasan yang jelas",1
diaplikasi laingk bisa,5
bagus,5
"tolong dong ka tambahin fitur ganti akun, masa setiap mau ganti akun harus keluar akun dulu, ribet, harusnya seperti Oren bisa ganti akun, tolong kak itu akan sangat berguna buat saya🙏 nanti saya kasi bintang 5 kalau ada fitur ganti akun",4
"Tau2 diemail, toko di tutup! Dah gitu aja tanpa ada informasi apa-apa",1
ok,4
saya sudH daftar tapi tidak bisa masuk akum jadi bingung saya dgn aplikasi ini,1
Akhir-akhir ini ongkir di Tokopedia melambung tinggi. Ada baiknya kita pamit!,3
jangan lupa modus gela,5
"Udah hampir bagus sih, tapi ada masalah dari ekspedisi Yaitu masih bekerjasama dengan sicepat, yang pengiriman nya tidak secepat ekspedisi lainnya.. Dan jika menggunakan metode cod menggunakan 3 ekspedisi, yakni JNT, d alihkan ke LILO, terus di alihkan lagi ke SICEPAT",2
mantap,5
e-commerce lelet,1
terpercaya,5
hai teman2..waspada y..jangan lagi bertransaksi di tokopedia karena toko2 disana banyak toko penipu..dan toko2 tersebut dilindungi oleh tokopedia itu sendiri..atau bahkan tokopedia itu satu komplotan dengan toko toko penipu..waspada..karena aku sudah menjadi korbannya..boikot tokopedia..jangan sampai makan korban penipuam lebih banyak lagi..,1
kalo ada barang bermasalah dan toko bermasalah pihak toko pedia membantu dan mohon untuk pengguna baru jangan pake aplikasi ini,1
bagus untuk berjualan,5
mantap lah,5
kenapa di redmi 10c tidak competible? tolong diperbaiki,5
"mantap,dpt d percaya",5
"sekarang tokopedia udah kurang bagus, utk expedisi yg sering bermasalah pun msh di rekomendasikan ke buyer.. dan CS nya pum sekarang hanya bot yg jawab, bukan manusia lagi, dan banyak kendala yang tidak teratasi..",1
"tokopedia pengiriman lelet tanggal estimasi lewat paket belum juga sampai, bagus shopee👍",1
saya suka banget,5
tidak bisa cod,1
Baik pelayanannya,5
ok,5
Ongkirnya lebih mahal jauh daripada shopee,1
baik saja coba,5
oke mantap,5
"SMLM 2X proses ORDER GAGAL TRUS, HARI INI BARU BISA",3
"parah toped sekarang,expedisi g ada yg beres,ga bisa tegas ke expedisi jg,penjual dicekik abis,korupsi ongkir jnt jelas2 dilabel ny,tapi diaplikasi lebih tinggi, dikomplain diabaikan,apalagi semenjak gabung tiktok,penjual diancam dengan menerima dana lebih lama dari yg pernah terjadi sebelumnya,penjual diancam jika tidak bergabung dengan tiktok,bla..bla..bla.,wah makin parah ini,ga seperti marketplace sebelah..yg bisa tegas ke expedisi, parah Tokopedia semenjak dijajah tiktok.. selesai sudah",1
"fitur Live dimatikan, tolong hidupkan lagi fitur Live tiktok, karenaitu sumber mata pencaharian kami",1
